date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:37	141922/141922	---MC-	200	added ('OK')	application/javascript	date:Thu,%2023%20Jun%202022%2006:23:03%20GMT	http://static202.yun300.cn/public/wgt/coreLibs/cecc/interwords/interwords_zh_CN.min.js,handle.min.js,libs.min.js,render.min.js?v=18db45f1ba93fb364fb34d6966ede24f&tenantId=251718&viewType=1	C:/My%20Websites/xiayu/static202.yun300.cn/public/wgt/coreLibs/cecc/interwords/interwords_zh_CN.min.js,handle.min.js,libs.min.js,render.minc715.js	(from http://www.xynmkj.cn/)
14:25:39	51626/51626	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:25:37%20GMT	http://www.xynmkj.cn/Honor12.html	C:/My%20Websites/xiayu/www.xynmkj.cn/Honor12.html	(from http://www.xynmkj.cn/)
14:25:41	50997/50997	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:25:39%20GMT	http://www.xynmkj.cn/intro/30.html	C:/My%20Websites/xiayu/www.xynmkj.cn/intro/30.html	(from http://www.xynmkj.cn/)
14:25:43	79720/79720	---M--	200	added ('OK')	image/jpeg	etag:%22614c18a2-13768%22	http://www.xynmkj.cn/repository/image/5DqFJECFTP61XpA_OcKXlQ.jpg_{i}xaf.jpg	C:/My%20Websites/xiayu/www.xynmkj.cn/repository/image/5DqFJECFTP61XpA_OcKXlQ.jpg_{i}xaf.jpg	(from http://www.xynmkj.cn/)
14:25:43	37978/37978	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:25:41%20GMT	http://www.xynmkj.cn/intro/31.html	C:/My%20Websites/xiayu/www.xynmkj.cn/intro/31.html	(from http://www.xynmkj.cn/)
14:25:45	53314/53314	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:25:43%20GMT	http://www.xynmkj.cn/intro/32.html	C:/My%20Websites/xiayu/www.xynmkj.cn/intro/32.html	(from http://www.xynmkj.cn/)
14:25:46	36286/36286	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:25:44%20GMT	http://www.xynmkj.cn/intro/33.html	C:/My%20Websites/xiayu/www.xynmkj.cn/intro/33.html	(from http://www.xynmkj.cn/)
14:25:48	45160/45160	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:25:46%20GMT	http://www.xynmkj.cn/intro/37.html	C:/My%20Websites/xiayu/www.xynmkj.cn/intro/37.html	(from http://www.xynmkj.cn/)
14:25:49	35694/35694	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:25:48%20GMT	http://www.xynmkj.cn/intro/24.html	C:/My%20Websites/xiayu/www.xynmkj.cn/intro/24.html	(from http://www.xynmkj.cn/)
14:25:50	36303/36303	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:25:49%20GMT	http://www.xynmkj.cn/intro/25.html	C:/My%20Websites/xiayu/www.xynmkj.cn/intro/25.html	(from http://www.xynmkj.cn/)
14:25:53	51156/51156	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:25:51%20GMT	http://www.xynmkj.cn/Video.html	C:/My%20Websites/xiayu/www.xynmkj.cn/Video.html	(from http://www.xynmkj.cn/)
14:25:53	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2023%20Jun%202022%2006:25:52%20GMT	http://www.xynmkj.cn/Download.html	C:/My%20Websites/xiayu/www.xynmkj.cn/Download.html	(from http://www.xynmkj.cn/)
14:25:55	37251/37251	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:25:53%20GMT	http://www.xynmkj.cn/login.html?goToUrl=http%3A%2F%2Fwww.xynmkj.cn%2FDownload.html	C:/My%20Websites/xiayu/www.xynmkj.cn/login1862.html	(from http://www.xynmkj.cn/)
14:26:00	46577/46577	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:25:55%20GMT	http://www.xynmkj.cn/Contact.html	C:/My%20Websites/xiayu/www.xynmkj.cn/Contact.html	(from http://www.xynmkj.cn/)
14:26:00	49393/49393	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:25:55%20GMT	http://www.xynmkj.cn/news/11/	C:/My%20Websites/xiayu/www.xynmkj.cn/news/11/index.html	(from http://www.xynmkj.cn/)
14:26:00	49039/49039	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:25:55%20GMT	http://www.xynmkj.cn/news/10/	C:/My%20Websites/xiayu/www.xynmkj.cn/news/10/index.html	(from http://www.xynmkj.cn/)
14:26:00	49358/49358	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:25:55%20GMT	http://www.xynmkj.cn/news/9/	C:/My%20Websites/xiayu/www.xynmkj.cn/news/9/index.html	(from http://www.xynmkj.cn/)
14:26:00	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Jun%202022%2006:25:59%20GMT	http://dfs.yun300.cn/group1/M00/1F/E6/rBQBHGFKzwyED0lEAAAAAAgFLqU891.png	C:/My%20Websites/xiayu/dfs.yun300.cn/group1/M00/1F/E6/rBQBHGFKzwyED0lEAAAAAAgFLqU891.20.delayed	(from http://www.xynmkj.cn/)
14:26:02	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Jun%202022%2006:26:01%20GMT	http://dfs.yun300.cn/group1/M00/06/F0/rBQBHWFKz0eEXOxCAAAAAOkLPBM980.png	C:/My%20Websites/xiayu/dfs.yun300.cn/group1/M00/06/F0/rBQBHWFKz0eEXOxCAAAAAOkLPBM980.22.delayed	(from http://www.xynmkj.cn/)
